               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.032874,            0.012055,           0.0041709,             0.98094,             0.96718,             0.98999,             0.65324,            0.027782,            0.010389,           0.0039661,           0.0094434,           0.0094434,           0.0094434
                  50,            0.032994,            0.011489,             0.00378,             0.99853,             0.98756,             0.99499,             0.66053,            0.026274,            0.010099,           0.0024648,           0.0094205,           0.0094205,           0.0094205
                  51,            0.031705,            0.011914,           0.0038692,             0.99767,             0.98303,             0.99476,             0.71184,            0.024849,           0.0099199,           0.0024603,           0.0093971,           0.0093971,           0.0093971
                  52,            0.032671,            0.011828,           0.0032144,             0.99841,             0.98867,             0.99497,             0.71438,            0.024897,           0.0099725,           0.0021529,           0.0093733,           0.0093733,           0.0093733
                  53,            0.032309,            0.011502,           0.0031693,             0.99531,             0.97715,             0.99285,             0.69073,             0.02447,            0.010045,           0.0029073,           0.0093491,           0.0093491,           0.0093491
                  54,            0.031421,            0.011061,           0.0038672,             0.98507,             0.97736,             0.99376,              0.7176,            0.023683,            0.010051,           0.0031628,           0.0093245,           0.0093245,           0.0093245
                  55,            0.030996,            0.011519,            0.003313,             0.99475,             0.98305,              0.9941,             0.73369,            0.023453,           0.0096431,           0.0024251,           0.0092995,           0.0092995,           0.0092995
                  56,            0.029411,             0.01107,           0.0035953,              0.8127,             0.86608,             0.86604,             0.58131,            0.025349,             0.01071,            0.015617,            0.009274,            0.009274,            0.009274
                  57,            0.030253,            0.011551,           0.0036354,             0.99229,              0.9875,             0.99359,             0.71094,            0.023752,           0.0097324,           0.0028302,           0.0092481,           0.0092481,           0.0092481
                  58,            0.029399,            0.011252,           0.0034181,             0.99632,             0.98644,             0.99484,             0.72122,            0.023884,           0.0097198,           0.0026613,           0.0092219,           0.0092219,           0.0092219
                  59,            0.028586,            0.010694,           0.0031125,             0.99822,             0.98981,             0.99494,             0.71772,            0.023799,            0.009461,           0.0019906,           0.0091952,           0.0091952,           0.0091952
                  60,            0.029024,            0.011294,           0.0029784,             0.99844,             0.99093,             0.99498,             0.69494,            0.024132,           0.0093872,           0.0020273,           0.0091681,           0.0091681,           0.0091681
                  61,            0.029441,            0.010972,           0.0029922,             0.99661,             0.98529,             0.99495,             0.71013,            0.023797,           0.0093711,           0.0023433,           0.0091406,           0.0091406,           0.0091406
                  62,            0.030998,            0.010858,           0.0030824,             0.99647,             0.98869,             0.99479,              0.7269,             0.02403,           0.0095305,           0.0021177,           0.0091127,           0.0091127,           0.0091127
                  63,            0.029234,            0.011202,           0.0027793,             0.99883,             0.99091,             0.99493,             0.69771,            0.024374,           0.0097156,           0.0017777,           0.0090844,           0.0090844,           0.0090844
                  64,             0.02986,            0.011068,           0.0029528,             0.99322,             0.99365,             0.99492,             0.71411,            0.024399,           0.0093662,            0.001904,           0.0090557,           0.0090557,           0.0090557
                  65,            0.028187,            0.010683,           0.0026704,             0.99793,             0.99435,             0.99499,               0.725,            0.022011,            0.008992,           0.0019703,           0.0090266,           0.0090266,           0.0090266
                  66,            0.027079,             0.01045,           0.0025826,                   1,             0.99269,               0.995,             0.75013,            0.020995,           0.0088839,           0.0017843,           0.0089972,           0.0089972,           0.0089972
                  67,            0.028521,            0.010885,           0.0028575,             0.99656,             0.99547,             0.99499,             0.74424,            0.023201,           0.0088856,            0.001785,           0.0089673,           0.0089673,           0.0089673
                  68,            0.028544,            0.010718,           0.0029619,             0.99993,             0.99659,               0.995,             0.75412,            0.020853,           0.0088036,           0.0019543,           0.0089371,           0.0089371,           0.0089371
                  69,            0.027579,            0.010275,           0.0027242,             0.99963,             0.99548,               0.995,             0.77291,            0.020818,           0.0086194,           0.0018625,           0.0089065,           0.0089065,           0.0089065
                  70,            0.027877,            0.010599,           0.0025506,             0.99707,             0.99658,               0.995,             0.75775,            0.020942,           0.0088198,           0.0016979,           0.0088755,           0.0088755,           0.0088755
                  71,            0.027298,            0.010645,           0.0022938,              0.9969,             0.99096,             0.99497,             0.74444,            0.021222,           0.0088198,           0.0016097,           0.0088442,           0.0088442,           0.0088442
                  72,            0.026113,            0.010727,           0.0026262,              0.9972,             0.99433,             0.99499,             0.75281,            0.021384,           0.0086853,           0.0019316,           0.0088124,           0.0088124,           0.0088124
                  73,             0.02664,             0.01042,           0.0027608,             0.99973,             0.99322,               0.995,             0.74393,            0.021038,           0.0086802,           0.0021331,           0.0087804,           0.0087804,           0.0087804
                  74,            0.026251,            0.010539,           0.0025175,             0.99832,             0.99435,             0.99498,             0.77292,            0.020252,           0.0086616,           0.0017967,           0.0087479,           0.0087479,           0.0087479
                  75,             0.02609,            0.010247,           0.0020962,             0.99824,             0.99434,             0.99499,             0.77473,            0.020215,           0.0085769,           0.0016289,           0.0087151,           0.0087151,           0.0087151
                  76,            0.025635,           0.0097902,            0.002412,             0.99943,             0.99434,               0.995,             0.78577,            0.019478,           0.0084931,           0.0017164,            0.008682,            0.008682,            0.008682
                  77,            0.025014,            0.010234,           0.0024287,             0.99661,             0.99196,             0.99491,             0.77087,            0.021591,           0.0084946,           0.0019204,           0.0086485,           0.0086485,           0.0086485
                  78,            0.027613,            0.010357,           0.0025404,             0.99883,             0.98981,             0.99499,             0.76076,            0.020522,           0.0086295,           0.0017167,           0.0086146,           0.0086146,           0.0086146
                  79,            0.026726,           0.0098499,           0.0025003,             0.99545,             0.98719,              0.9948,             0.75356,            0.021231,           0.0087137,           0.0020442,           0.0085805,           0.0085805,           0.0085805
                  80,            0.026467,            0.010638,           0.0024011,             0.99723,             0.99661,               0.995,             0.75486,            0.020571,            0.008671,           0.0016601,           0.0085459,           0.0085459,           0.0085459
                  81,            0.027349,            0.010496,           0.0026674,              0.9971,             0.99654,             0.99499,             0.76478,            0.020096,           0.0086525,            0.001601,           0.0085111,           0.0085111,           0.0085111
                  82,            0.025591,           0.0095755,           0.0026275,             0.99748,             0.99435,             0.99499,             0.76507,            0.020426,           0.0084964,           0.0015586,           0.0084759,           0.0084759,           0.0084759
                  83,            0.025221,           0.0099195,            0.002548,             0.99871,             0.99321,             0.99498,             0.77973,            0.019901,           0.0082724,           0.0016694,           0.0084404,           0.0084404,           0.0084404
                  84,            0.026071,           0.0099522,            0.002402,             0.99837,             0.99544,               0.995,             0.76455,            0.019847,            0.008413,           0.0015537,           0.0084046,           0.0084046,           0.0084046
                  85,            0.023877,            0.009849,           0.0020366,             0.99968,             0.99661,               0.995,             0.77331,            0.021155,            0.008489,           0.0014461,           0.0083684,           0.0083684,           0.0083684
                  86,            0.025319,           0.0099537,           0.0027809,             0.99511,             0.99435,             0.99484,             0.78796,            0.018804,           0.0083616,           0.0019591,           0.0083319,           0.0083319,           0.0083319
                  87,            0.023772,           0.0095651,           0.0028531,             0.99499,             0.99434,              0.9949,             0.78016,            0.018733,           0.0082525,           0.0017681,           0.0082952,           0.0082952,           0.0082952
                  88,            0.023416,            0.010021,           0.0026859,             0.99802,              0.9932,             0.99499,             0.77579,            0.019171,           0.0085195,           0.0015764,           0.0082581,           0.0082581,           0.0082581
                  89,            0.026486,             0.01028,           0.0028808,             0.99881,             0.99322,             0.99497,             0.75715,            0.020695,            0.008343,           0.0015278,           0.0082207,           0.0082207,           0.0082207
                  90,            0.025992,            0.010059,           0.0024631,             0.99773,             0.99518,               0.995,             0.77355,            0.019655,           0.0083144,           0.0015085,            0.008183,            0.008183,            0.008183
                  91,            0.025399,            0.010045,           0.0028174,             0.99773,             0.99155,             0.99498,             0.75891,            0.019806,           0.0086077,           0.0018314,            0.008145,            0.008145,            0.008145
                  92,            0.025564,            0.010114,           0.0026728,             0.99979,             0.99548,               0.995,             0.77504,            0.019376,           0.0083389,           0.0016479,           0.0081068,           0.0081068,           0.0081068
                  93,             0.02443,           0.0094395,           0.0018939,             0.99943,             0.99661,               0.995,             0.77785,            0.019873,           0.0084191,           0.0014548,           0.0080682,           0.0080682,           0.0080682
                  94,            0.024908,            0.009968,           0.0022505,             0.99998,             0.99527,               0.995,             0.79459,            0.018537,            0.008114,           0.0013906,           0.0080294,           0.0080294,           0.0080294
                  95,               0.024,           0.0098593,            0.002236,             0.99998,              0.9964,               0.995,              0.7847,            0.018589,           0.0080256,           0.0015576,           0.0079903,           0.0079903,           0.0079903
                  96,            0.024834,           0.0095447,            0.002058,             0.99947,             0.99549,               0.995,             0.78863,            0.019088,           0.0080886,           0.0015816,           0.0079509,           0.0079509,           0.0079509
                  97,            0.022742,            0.008999,           0.0020566,             0.99859,              0.9966,               0.995,             0.79512,            0.017714,           0.0078115,           0.0014184,           0.0079112,           0.0079112,           0.0079112
                  98,            0.023123,            0.009593,            0.001778,                   1,             0.99661,               0.995,              0.8128,            0.017988,           0.0077427,           0.0015081,           0.0078713,           0.0078713,           0.0078713
                  99,            0.022994,           0.0093251,           0.0021833,             0.99895,             0.99661,               0.995,             0.79498,            0.018226,           0.0077946,           0.0015871,           0.0078311,           0.0078311,           0.0078311
                 100,            0.022598,           0.0094397,           0.0019371,             0.99886,             0.99605,               0.995,             0.80703,            0.018291,           0.0078906,           0.0014926,           0.0077907,           0.0077907,           0.0077907
                 101,            0.023976,           0.0099491,           0.0020889,                   1,             0.99578,               0.995,             0.80051,            0.017714,           0.0077256,           0.0014236,             0.00775,             0.00775,             0.00775
                 102,            0.022848,           0.0094599,           0.0016113,             0.99893,             0.99661,               0.995,             0.81214,            0.017362,           0.0077138,           0.0014095,           0.0077091,           0.0077091,           0.0077091
                 103,            0.023133,           0.0094165,           0.0018109,             0.99887,             0.99732,               0.995,              0.8159,            0.017152,           0.0076655,           0.0014562,           0.0076679,           0.0076679,           0.0076679
                 104,            0.023501,           0.0096228,           0.0018788,             0.99871,             0.99661,               0.995,             0.80254,            0.018454,           0.0077605,           0.0014523,           0.0076265,           0.0076265,           0.0076265
                 105,            0.022781,           0.0097602,           0.0019918,                   1,             0.99584,               0.995,             0.81814,            0.017616,           0.0078097,           0.0014051,           0.0075848,           0.0075848,           0.0075848
                 106,            0.023571,           0.0093347,           0.0019442,             0.99858,             0.99661,               0.995,             0.82433,            0.017208,           0.0076498,           0.0014339,            0.007543,            0.007543,            0.007543
                 107,              0.0224,            0.009614,           0.0020397,             0.99989,             0.99661,               0.995,             0.81691,             0.01749,           0.0076708,           0.0014231,           0.0075009,           0.0075009,           0.0075009
                 108,            0.022478,           0.0091365,           0.0018971,             0.99886,             0.99529,               0.995,             0.81707,             0.01688,           0.0076918,           0.0014711,           0.0074585,           0.0074585,           0.0074585
